Rechtsgebiet;Begriff
Öffentliches Recht;Aufschiebende Bedingung (VwR)
Öffentliches Recht;Auswahlermessen
Öffentliches Recht;Außenbereich
Öffentliches Recht;Auslieferung
Öffentliches Recht;Außenwirkung eines Verwaltungsaktes
Öffentliches Recht;Auflagenvorbehalt
Öffentliches Recht;Auflage (VwR)
Öffentliches Recht;Asyl
Öffentliches Recht;Arbeitszwang
Öffentliches Recht;Anstalt des Öffentlichen Rechts
Öffentliches Recht;Annexkompetenz
Öffentliches Recht;Anhörung
Öffentliches Recht;Allgemeinwohl
Öffentliches Recht;Amtspflichtverletzung
Öffentliches Recht;Amtswalter
Öffentliches Recht;Anwendungsvorrang
Öffentliches Recht;Ausschließliche Gesetzgebungskompetenz
Öffentliches Recht;Konkurrierende Gesetzgebungskompetenz
Öffentliches Recht;Wesentlichkeitstheorie
Öffentliches Recht;Subsidiaritätsprinzip
Öffentliches Recht;Normenkontrolle
Öffentliches Recht;Verfassungsbeschwerde
Öffentliches Recht;Zitiergebot
Öffentliches Recht;Wesensgehaltsgarantie
Öffentliches Recht;Praktische Konkordanz
Öffentliches Recht;Übermaßverbot
