Rechtsgebiet;Begriff;Definition
Öffentliches Recht;Beliehene;Ein Beliehener ist eine natürliche oder juristische Person des Privatrechts, der durch oder aufgrund Gesetzes die Befugnis übertragen worden ist, hoheitliche Aufgaben im eigenen Namen und mit Außenwirkun wahrzunehmen.
Öffentliches Recht;Behörde;Behörde ist nach § 1 Abs. 4 VwVfG jede Stelle, die Aufgaben der öffentlichen Verwaltung wahrnimmt.
Öffentliches Recht;Erforderlich (i.S. der Verhältnismäßigkeit);Eine staatliche Maßnahme ist erforderlich, wenn kein anderes, gleich effektives aber milderes Mittel zur Verfügung steht, um den verfolgten legitimen Zweck zu erreichen.
Öffentliches Recht;Öffentlich-rechtliche Streitigkeit i.S.d. § 40 Abs. 1 S. 1 VwGO (modifizierte Subjekttheorie);Eine Streitigkeit ist öffentlich-rechtlich, wenn die streitentscheidenden Normen solche des öffentlichen Rechts sind. Dies ist nach der modifizierten Subjekttheorie der Fall, wenn die maßgebliche Norm ausschließlich einen Träger öffentlicher Gewalt als solchen berechtigt oder verpflichtet (Sonderrechtstheorie).
Zivilrecht;Abgabe einer Willenserklärung;Abgabe einer Willenserklärung meint das willentliche In-den-Verkehr-Bringen der Erklärung, sodass der Erklärende mit einem Zugang beim Empfänger rechnen darf.
Zivilrecht;Abstraktes Geschäft;Ein abstraktes Geschäft ist ein Rechtsgeschäft, welches seinen rechtlichen Grund iSd § 812 I 1 BGB nicht in sich trägt.
Zivilrecht;Abstraktionsprinzip;Das Abstraktionsprinzip besagt, dass das Verpflichtungsgeschäft und das Verfügungsgeschäft rechtlich selbstständig sind und die Wirksamkeit des einen grundsätzlich unabhängig von der Wirksamkeit des anderen ist.
Zivilrecht;Abschlussfreiheit;Abschlussfreiheit ist die Freiheit des Einzelnen, selbst zu entscheiden, ob und mit wem er einen Vertrag abschließt.
Zivilrecht;Tatsächliches Angebot, § 294 BGB;Ein tatsächliches Angebot liegt vor, wenn der Schuldner dem Gläubiger die geschuldete Leistung so anbietet, dass der Gläubiger sie nur noch annehmen muss.
Zivilrecht;Kontrahierungszwang ;Kontrahierungszwang ist die rechtliche Pflicht, mit einem anderen auf dessen Verlangen einen Vertrag abzuschließen.
Zivilrecht;Nacherbe;Nacherbe ist derjenige, der nach Eintritt des Nacherbfalls anstelle des Vorerben Erbe wird.
Zivilrecht;Arthandlungsvollmacht, § 54 I Alt. 2 BGB;Arthandlungsvollmacht ist eine Handlungsvollmacht, die den Bevollmächtigten zur Vornahme einer bestimmten Art von Geschäften oder Rechtshandlungen ermächtigt, die in einem bestimmten Handelsgewerbe gewöhnlich vorkommen.
Zivilrecht;Abspaltungsverbot;Abspaltungsverbot bedeutet, dass Ansprüche der Gesellschafter gegeneinander aus dem Gesellschaftsverhältnis nicht isoliert übertragen oder belastet werden können, sondern das Recht nur mit den Anteilen gemeinsam disponibel ist.
Zivilrecht;Aktie;Eine Aktie ist ein Mitgliedschafts- und Vermögensrecht an einer Aktiengesellschaft in Form eines Wertpapiers, das die Beteiligung des Aktionärs am Grundkapital verkörpert.
Zivilrecht;Abstrakte Sicherheiten;Abstrakte Sicherheiten sind Sicherungsmittel, deren rechtliche Wirksamkeit und Bestand nicht vom Bestehen der gesicherten Forderung abhängen, sondern von dieser rechtlich unabhängig sind (z.B. Sicherungsgrundschuld).
Zivilrecht;Allgemeiner Gerichtsstand;Der allgemeine Gerichtsstand ist der gesetzliche Gerichtsstand an welchem vorbehaltlich eines ausschließlichen Gerichtsstandes alle Klagen gegen die natürliche oder juristische Person erhoben werden können (§§ 12ff. ZPO)
Zivilrecht;Beibringungsgrundsatz;Der Beibringungsgrundsatz besagt, dass es im Zivilprozess grundsätzlich Sache der Parteien ist, die für die Entscheidung erheblichen Tatsachen vorzutragen und die hierfür erforderlichen Beweismittel beizubringen
Zivilrecht;Beschwer;Beschwer ist die nachteilige Betroffenheit einer Partei durch eine gerichtliche Entscheidung, die Voraussetzung für die Zulässigkeit eines Rechtsmittels ist
